OPERACION;COD_COCHERA;DEPOSITO;DENOMINACION;LOCALIZACION 
1;1;1;PUEEEEEEEEEEERTA DE ARGANDA;CARRETERA M-203 KM 2,300 (CAMINO DE VALLECAS A MEJORADA)
1;2;1;UNIVERSIDAD REY JUAN CARLOS;AVENIDA ALCALDE DE MÓSTOLES Nº 35
1;3;1;EL BERCIAL;PRÓXIMO A CARRETERA DE TURQUÍA (BARRIO DE EL BERCIAL)
1;4;1;ARGANZUELA - PLANETARIO;C/ BRONCE Nº 1
1;5;1;CIUDAD UNIVERSITARIA;PLAZA RAMÓN Y CAJAL
1;6;1;MIGUEL HERNANDEZ;AVENIDA DE LA ALBUFERA ESQ. CALLE RAFAEL ALBERTI
0;7;1;ARGÜELLES;C/ PRINCESA Nº 56
1;8;1;ALMENDRALES;AVENIDA DE CÓRDOBA, 21
1;9;1;MONCLOA;C/ PRINCESA, 96
1;10;1;NUEVOS MINISTERIOS;PASEO DE LA CASTELLANA Nº 67
0;11;0;CUATRO CAMINOS;VIRGEN DE NIEVA S/N
1;12;0;VENTAS;ALMERÍA 6
1;13;0;PLAZA DE CASTILLA;SAN BENITO S/N
1;14;0;CANILLEJAS;NECTAR S/N
1;15;0;ALUCHE;AVDA. DE LOS POBLADOS Nº 11
1;16;0;FUENCARRAL;AVENIDA CAMPO DE CALATRAVA Nº 86
0;17;0;SACEDAL;VENTISQUERO DE LA CONDESA S/N
1;18;0;LAGUNA;GOTAREDURA Nº 3
1;19;0;HORTALEZA;C/ MANUEL AZAÑA
1;20;0;CUATRO VIENTOS CUATRO;CRTA. DE CANALEJAS y DE QUIEN LO MATO S/N
1;21;0;LORANCA;AVDA. DE LA ALEGRÍA (FUENLABRADA)
1;22;0;VALDECARROS;AVENIDA CERRO MILANO 0103 ENSANCHE DE VALLECAS, 73 
1;23;0;VILLAVERDE;AVENIDA REAL DE PINTO
2;1;1;PUERTA DE ARGANDA;CARRETERA M-203 KM 2,300 (CAMINO DE VALLECAS A MEJORADA)
0;14;0;CANILLEJAS;NECTAR S/N
0;15;0;ALUCHE;AVDA. DE LOS POBLADOS Nº 11
0;16;0;FUENCARRAL;AVENIDA CAMPO DE CALATRAVA Nº 86
0;17;0;SACEDAL;VENTISQUERO DE LA CONDESA S/N
0;18;0;LAGUNA;GOTAREDURA Nº 3
3;13;0;PLAZA DE CASTILLA;SAN BENITO S/N